batsman,bowler,0,1,2,3,4,5,6,wickets,balls
MJ Guptill,JJ Bumrah,0.166666666666667,0.666666666666667,0,0,0.166666666666667,0,0,0,6
WP Saha,JJ Bumrah,0.483870967741936,0.387096774193548,0.064516129032258,0,0.064516129032258,0,0,0,31
MJ Guptill,SL Malinga,0,0.5,0.5,0,0,0,0,0,2
WP Saha,SL Malinga,0.310344827586207,0.413793103448276,0.103448275862069,0,0.137931034482759,0,0.03448275862069,0,29
MJ Guptill,KV Sharma,0.25,0,0,0,0.5,0,0,0.25,4
WP Saha,KV Sharma,0.290322580645161,0.516129032258065,0.064516129032258,0,0.096774193548387,0,0,0.032258064516129,31
GJ Maxwell,KV Sharma,0.214285714285714,0.321428571428571,0.071428571428572,0,0.071428571428572,0,0.321428571428571,0,28
GJ Maxwell,MJ McClenaghan,0.2,0.333333333333333,0.066666666666667,0,0.133333333333333,0,0.2,0.066666666666667,15
GJ Maxwell,Harbhajan Singh,0.192307692307692,0.423076923076923,0.038461538461539,0,0.153846153846154,0,0.153846153846154,0.038461538461539,26
WP Saha,Harbhajan Singh,0.181818181818182,0.575757575757576,0.090909090909091,0,0.060606060606061,0,0.090909090909091,0,33
GJ Maxwell,SL Malinga,0.333333333333333,0.466666666666667,0.066666666666667,0,0.066666666666667,0,0.066666666666667,0,15
GJ Maxwell,JJ Bumrah,0.318181818181818,0.318181818181818,0.045454545454546,0,0.181818181818182,0,0,0.136363636363636,22
SE Marsh,KV Sharma,0.25,0.5,0.25,0,0,0,0,0,4
SE Marsh,SL Malinga,0.242424242424242,0.545454545454545,0.060606060606061,0,0.090909090909091,0,0,0.060606060606061,33
SE Marsh,MJ McClenaghan,0.25,0.333333333333333,0.166666666666667,0,0.083333333333333,0,0,0.166666666666667,12
AR Patel,MJ McClenaghan,0.285714285714286,0.428571428571429,0.142857142857143,0,0,0,0,0.142857142857143,7
AR Patel,JJ Bumrah,0.428571428571429,0.571428571428571,0,0,0,0,0,0,7
AR Patel,SL Malinga,0.285714285714286,0.285714285714286,0.428571428571429,0,0,0,0,0,7
AR Patel,HH Pandya,0,0.5,0,0,0,0,0.5,0,2
LMP Simmons,Sandeep Sharma,0.266666666666667,0.266666666666667,0.133333333333333,0,0.3,0,0.033333333333333,0,30
PA Patel,Sandeep Sharma,0.568627450980392,0.274509803921569,0.058823529411765,0,0.058823529411765,0,0,0.03921568627451,51
LMP Simmons,MJ Henry,0,1,0,0,0,0,0,0,1
PA Patel,MJ Henry,0.4,0,0,0,0.6,0,0,0,5
LMP Simmons,I Sharma,0.454545454545455,0.090909090909091,0.090909090909091,0,0.272727272727273,0,0,0.090909090909091,11
PA Patel,I Sharma,0.347826086956522,0.304347826086957,0.043478260869565,0,0.217391304347826,0,0.043478260869565,0.043478260869565,23
PA Patel,MM Sharma,0.291666666666667,0.291666666666667,0.0625,0,0.3125,0,0,0.041666666666667,48
LMP Simmons,MM Sharma,0.3125,0.3125,0.125,0,0.125,0,0.125,0,32
LMP Simmons,AR Patel,0.32,0.32,0.08,0,0.16,0,0.12,0,25
PA Patel,AR Patel,0.176470588235294,0.705882352941176,0.058823529411765,0,0.058823529411765,0,0,0,17
PA Patel,GJ Maxwell,0.25,0.5,0.125,0,0,0,0.125,0,8
N Rana,MM Sharma,0.5,0.166666666666667,0.083333333333333,0,0.083333333333333,0,0.166666666666667,0,12
LMP Simmons,GJ Maxwell,0.571428571428571,0.285714285714286,0,0,0,0,0,0.142857142857143,7
N Rana,GJ Maxwell,0,1,0,0,0,0,0,0,2
RG Sharma,GJ Maxwell,0.5,0.5,0,0,0,0,0,0,2
N Rana,I Sharma,0.272727272727273,0.454545454545455,0,0,0.090909090909091,0,0.181818181818182,0,11
RG Sharma,I Sharma,0.416666666666667,0.291666666666667,0,0.041666666666667,0.125,0,0.041666666666667,0.083333333333333,24
RG Sharma,R Tewatia,0.5,0.25,0,0,0,0,0,0.25,4
N Rana,R Tewatia,0,1,0,0,0,0,0,0,1
KA Pollard,R Tewatia,0.25,0.5,0,0,0,0,0.25,0,4
KA Pollard,AR Patel,0.277777777777778,0.444444444444444,0.055555555555556,0.055555555555556,0.055555555555556,0,0.055555555555556,0.055555555555556,18
N Rana,AR Patel,0.461538461538462,0.384615384615385,0,0,0,0,0.076923076923077,0.076923076923077,13
HH Pandya,AR Patel,0.2,0.4,0.2,0,0,0,0.2,0,5
HH Pandya,R Tewatia,0.5,0.25,0,0,0,0,0.25,0,4
KA Pollard,MJ Henry,0,0.333333333333333,0,0,0,0,0.666666666666667,0,3
HH Pandya,MJ Henry,0,0.333333333333333,0,0,0,0,0.666666666666667,0,3
HH Pandya,Sandeep Sharma,0.5,0,0,0,0,0,0,0.5,2
KV Sharma,Sandeep Sharma,0.181818181818182,0.636363636363636,0,0,0.090909090909091,0,0.090909090909091,0,11
KA Pollard,Sandeep Sharma,0.071428571428572,0.428571428571429,0.214285714285714,0,0.071428571428572,0,0.142857142857143,0.071428571428572,14
KA Pollard,MM Sharma,0.342857142857143,0.371428571428571,0.114285714285714,0,0.028571428571429,0,0.057142857142857,0.085714285714286,35
KV Sharma,MM Sharma,0.125,0.375,0,0,0.25,0,0.125,0.125,8
Harbhajan Singh,MM Sharma,0.375,0.25,0.125,0,0.083333333333333,0,0.083333333333333,0.083333333333333,24
Harbhajan Singh,Sandeep Sharma,0.375,0.625,0,0,0,0,0,0,8
AM Nayar,AR Patel,0.666666666666667,0.333333333333333,0,0,0,0,0,0,3
AM Rahane,AR Patel,0.266666666666667,0.566666666666667,0.1,0,0.066666666666667,0,0,0,30
AM Rahane,MG Johnson,0.320754716981132,0.283018867924528,0.056603773584906,0.018867924528302,0.264150943396226,0,0.018867924528302,0.037735849056604,53
AM Nayar,MG Johnson,0.428571428571429,0.428571428571429,0.071428571428572,0,0.071428571428572,0,0,0,14
AM Rahane,P Awana,0.304347826086957,0.347826086956522,0.130434782608696,0,0.173913043478261,0,0.043478260869565,0,23
AM Nayar,P Awana,0.545454545454545,0.181818181818182,0.181818181818182,0,0,0,0.090909090909091,0,11
SV Samson,L Balaji,0.5,0.25,0,0,0.125,0,0.125,0,8
SV Samson,P Awana,0.25,0.375,0.0625,0,0.1875,0,0.0625,0.0625,16
SV Samson,MG Johnson,0.333333333333333,0.444444444444444,0,0,0.166666666666667,0,0,0.055555555555556,18
AM Nayar,M Kartik,0.4375,0.375,0,0,0.0625,0,0,0.125,16
SR Watson,M Kartik,0.32,0.32,0.06,0.02,0.16,0,0.12,0,50
SV Samson,M Kartik,0.105263157894737,0.578947368421053,0.052631578947369,0,0.052631578947369,0,0.210526315789474,0,19
SV Samson,AR Patel,0.24,0.68,0.04,0,0,0,0,0.04,25
SR Watson,AR Patel,0.515151515151515,0.212121212121212,0,0,0.090909090909091,0,0.03030303030303,0.151515151515152,33
SR Watson,L Balaji,0.333333333333333,0.2,0.066666666666667,0,0.266666666666667,0,0.066666666666667,0.066666666666667,15
SR Watson,P Awana,0.263157894736842,0.31578947368421,0,0,0.263157894736842,0,0.105263157894737,0.052631578947369,19
STR Binny,AR Patel,0.571428571428571,0.428571428571429,0,0,0,0,0,0,7
STR Binny,M Kartik,0.2,0.3,0.2,0,0.1,0,0.2,0,10
STR Binny,MG Johnson,0.6875,0.0625,0.125,0,0,0,0,0.125,16
SPD Smith,MG Johnson,0.461538461538462,0.307692307692308,0,0,0.076923076923077,0,0,0.153846153846154,13
SPD Smith,P Awana,0.428571428571429,0.285714285714286,0,0,0.285714285714286,0,0,0,7
JP Faulkner,P Awana,1,0,0,0,0,0,0,0,1
SPD Smith,L Balaji,0.2,0.3,0.1,0,0.4,0,0,0,10
JP Faulkner,MG Johnson,0.5,0.208333333333333,0.041666666666667,0,0.125,0,0.125,0,24
JP Faulkner,L Balaji,0,0.571428571428571,0,0,0.142857142857143,0,0.285714285714286,0,7
CA Pujara,KW Richardson,0.25,0.625,0,0,0.125,0,0,0,8
V Sehwag,KW Richardson,0.666666666666667,0.333333333333333,0,0,0,0,0,0,9
V Sehwag,DS Kulkarni,0.4375,0.25,0,0,0.25,0,0,0.0625,16
WP Saha,DS Kulkarni,0.2,0.2,0.6,0,0,0,0,0,5
