bat_cluster,bowl_cluster,0s,1s,2s,3s,4s,5s,6s,wickets
5,9,0.29082774049217003,0.4541387024608501,0.06711409395973154,0.0044742729306487695,0.11409395973154363,0.0,0.040268456375838924,0.029082774049217
6,0,0.48157894736842105,0.33596491228070174,0.04035087719298246,0.0035087719298245615,0.04473684210526316,0.0,0.010526315789473684,0.08333333333333333
6,2,0.4158878504672897,0.3878504672897196,0.053738317757009345,0.002336448598130841,0.053738317757009345,0.0,0.018691588785046728,0.06775700934579439
6,3,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
6,4,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0.47804878048780486,0.3024390243902439,0.03902439024390244,0.0024390243902439024,0.06341463414634146,0.0,0.007317073170731708,0.1073170731707317
6,6,0.4306569343065693,0.32116788321167883,0.08029197080291971,0.014598540145985401,0.058394160583941604,0.0,0.021897810218978103,0.072992700729927
6,7,0.5517241379310345,0.2413793103448276,0.10344827586206896,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655
6,8,0.5689655172413793,0.3103448275862069,0.05172413793103448,0.0,0.017241379310344827,0.0,0.0,0.05172413793103448
6,9,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.3921638468388246,0.35547640249332146,0.0653606411398041,0.0028495102404274266,0.10169189670525379,0.0005342831700801424,0.0238646482635797,0.05805877114870882
7,1,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0
7,2,0.39138665404637957,0.37813535257927117,0.05868433506862281,0.003786086133459536,0.08755324183625178,0.000473260766682442,0.03028868906767629,0.04969238050165641
7,3,0.30833333333333335,0.4666666666666667,0.05,0.0,0.11666666666666667,0.0,0.058333333333333334,0.0
7,4,0.3148148148148148,0.4074074074074074,0.12962962962962962,0.0,0.07407407407407407,0.0,0.037037037037037035,0.037037037037037035
7,5,0.3764387271496276,0.3493568043331077,0.06905890318212593,0.0013540961408259986,0.08463100880162491,0.0,0.037237643872714964,0.08192281651997292
7,6,0.3709090909090909,0.3696969696969697,0.06060606060606061,0.0048484848484848485,0.11515151515151516,0.0,0.03393939393939394,0.044848484848484846
7,7,0.37755102040816324,0.3469387755102041,0.09183673469387756,0.01020408163265306,0.11224489795918367,0.0,0.04081632653061224,0.02040816326530612
7,8,0.3696808510638298,0.40425531914893614,0.05053191489361702,0.005319148936170213,0.09042553191489362,0.0,0.03723404255319149,0.0425531914893617
7,9,0.379746835443038,0.4177215189873418,0.0759493670886076,0.0,0.06329113924050633,0.0,0.02531645569620253,0.0379746835443038
8,0,0.42597488433575675,0.34699272967614014,0.056179775280898875,0.0009914077990746861,0.08129543952412426,0.0,0.02015862524785195,0.06840713813615333
8,1,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0.3882042253521127,0.3617957746478873,0.0818661971830986,0.0044014084507042256,0.0880281690140845,0.0,0.025528169014084508,0.05017605633802817
8,3,0.3333333333333333,0.5238095238095238,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0
8,4,0.4166666666666667,0.25,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0
8,5,0.4411764705882353,0.3257918552036199,0.05542986425339366,0.0022624434389140274,0.05429864253393665,0.0,0.01809954751131222,0.10294117647058823
8,6,0.40853658536585363,0.4166666666666667,0.054878048780487805,0.0040650406504065045,0.06504065040650407,0.0,0.012195121951219513,0.03861788617886179
8,7,0.32432432432432434,0.5135135135135135,0.04054054054054054,0.0,0.06756756756756757,0.0,0.04054054054054054,0.013513513513513514
8,8,0.45918367346938777,0.37244897959183676,0.04591836734693878,0.0,0.07653061224489796,0.0,0.00510204081632653,0.04081632653061224
8,9,0.3333333333333333,0.48148148148148145,0.0,0.0,0.07407407407407407,0.0,0.1111111111111111,0.0
9,0,0.322969837587007,0.3225058004640371,0.06310904872389791,0.0004640371229698376,0.1531322505800464,0.0,0.07795823665893271,0.05986078886310905
9,2,0.2895348837209302,0.3116279069767442,0.07209302325581396,0.0011627906976744186,0.18255813953488373,0.0011627906976744186,0.09069767441860466,0.05116279069767442
9,3,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.0,0.2777777777777778,0.0,0.2222222222222222,0.0
9,4,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
9,5,0.34307496823379924,0.3113087674714104,0.07878017789072427,0.0025412960609911056,0.14612452350698857,0.0,0.05844980940279543,0.05972045743329098
9,6,0.2832764505119454,0.3583617747440273,0.08532423208191127,0.0034129692832764505,0.13993174061433447,0.0,0.09556313993174062,0.034129692832764506
9,7,0.13793103448275862,0.41379310344827586,0.06896551724137931,0.0,0.1724137931034483,0.0,0.1724137931034483,0.034482758620689655
9,8,0.40476190476190477,0.29365079365079366,0.0,0.0,0.16666666666666666,0.0,0.07936507936507936,0.05555555555555555
9,9,0.3333333333333333,0.3333333333333333,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0
